cafe_name	name	dessert_tag	price	image_url
트리오드	오츠라떼(귀리우유)	NULL	6,600원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC4BEF5C5454947D2888FE63BA4D0C594
트리오드	카페라떼	NULL	6,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F81E57C0BD1434D018A0818EF35F44DBD
트리오드	브라운치즈 크림라떼	NULL	6,800원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F48AC2E153779483D9C3AED5CEB56A928
트리오드	밀크티	NULL	6,500원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1498B6E401B44063865A71896F0CE9B1
트리오드	딥 초콜릿 라떼	NULL	6,500원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F920AE35285B6496AA674A8E6DDA086F4
트리오드	자몽 에이드	NULL	6,300원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC809F953E5524D32A560EED9007E8DC5
트리오드	라몬 에이드	NULL	6,500원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F535BAF31A4A24126829BB7A7DABAE69F
트리오드	오렌지 당근 주스	NULL	7,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCA934532FA1F45A7A9D14DE47A775784
트리오드	아메리카노	NULL	5,500원	NULL
트리오드	아인슈페너	NULL	6,200원	NULL
트리오드	인도 바드라 아라비카	NULL	6,500원	NULL
트리오드	에티오피아 시다마 벤사 케라모 G1	NULL	6,500원	NULL
할리스 강남역점	블랙아리아 아메리카노	NULL	NULL	NULL
할리스 강남역점	블랙아리아 딥라떼	NULL	NULL	NULL
할리스 강남역점	디카페인 아메리카노	NULL	NULL	NULL
할리스 강남역점	디카페인 카페 라떼	NULL	NULL	NULL
할리스 강남역점	디카페인 바닐라 딜라이트	NULL	NULL	NULL
할리스 강남역점	콜드브루 딜라이트	NULL	NULL	NULL
할리스 강남역점	콜드브루 라떼	NULL	NULL	NULL
할리스 강남역점	바닐라 딜라이트	NULL	NULL	NULL
할리스 강남역점	카라멜 마키아또	NULL	NULL	NULL
할리스 강남역점	카페모카	NULL	NULL	NULL
할리스 강남역점	카푸치노	NULL	NULL	NULL
할리스 강남역점	카페 라떼	NULL	NULL	NULL
할리스 강남역점	아메리카노	NULL	NULL	NULL
할리스 강남역점	아포가토	NULL	NULL	NULL
할리스 강남역점	에스프레소	NULL	NULL	NULL
할리스 강남역점	제주 말차 할리치노	NULL	NULL	NULL
할리스 강남역점	오렌지 자몽 싱싱 주스	NULL	NULL	NULL
할리스 강남역점	피치 딸기 크러쉬	NULL	NULL	NULL
할리스 강남역점	유자몽 스파클링	NULL	NULL	NULL
할리스 강남역점	레몬 글라세 마들렌	구움과자	NULL	NULL
클로리스 역삼GFC점	아메리카노	NULL	4,500원	NULL
클로리스 역삼GFC점	카페라떼	NULL	5,500원	NULL
클로리스 역삼GFC점	클래식 아이스 밀크티	NULL	6,000원	NULL
클로리스 역삼GFC점	하바네라아이스	NULL	5,800원	NULL
클로리스 역삼GFC점	로즈마리레몬	NULL	6,800원	NULL
클로리스 역삼GFC점	라벤더 얼그레이	NULL	5,200원	NULL
클로리스 역삼GFC점	민티멜로디	NULL	4,800원	NULL
에이비카페	아메리카노(HOT)	NULL	6,000원	NULL
에이비카페	카페라떼(HOT)	NULL	6,500원	NULL
에이비카페	바닐라라떼	NULL	7,000원	NULL
에이비카페	말차라떼	NULL	7,500원	NULL
에이비카페	초코라떼	NULL	7,500원	NULL
